This file was created using the 202002 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Developed.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
200708  ,-4.14  ,-2.46  ,-4.71   ,0.53  ,-0.86  ,-0.60
200709   ,1.64   ,2.00   ,4.11   ,3.97   ,4.95   ,6.16
200710   ,3.02   ,2.60   ,5.89   ,3.68   ,3.16   ,3.69
200711  ,-6.89  ,-6.54  ,-8.76  ,-3.00  ,-3.97  ,-5.11
200712  ,-2.08  ,-1.91  ,-1.99  ,-1.14  ,-1.29  ,-1.10
200801  ,-6.77  ,-7.14 ,-10.36  ,-7.26  ,-7.18  ,-8.54
200802   ,1.33   ,1.25   ,2.56  ,-0.66  ,-0.03   ,0.54
200803  ,-0.41  ,-0.27  ,-3.59  ,-0.77  ,-1.01  ,-1.33
200804   ,2.04   ,2.20   ,3.12   ,3.88   ,5.78   ,6.46
200805   ,3.28   ,2.67   ,4.15   ,2.06   ,1.11   ,2.90
200806  ,-6.38  ,-6.80  ,-7.27  ,-7.53  ,-8.22  ,-8.17
200807  ,-0.49  ,-1.59  ,-5.00  ,-1.77  ,-2.06  ,-4.47
200808  ,-1.19  ,-1.64  ,-3.67  ,-1.15  ,-1.66  ,-3.28
200809 ,-10.78 ,-11.36 ,-16.09  ,-9.79 ,-10.90 ,-16.52
200810 ,-19.57 ,-19.82 ,-26.18 ,-17.74 ,-18.46 ,-22.05
200811  ,-6.36  ,-7.07  ,-8.51  ,-3.74  ,-6.93  ,-8.62
200812   ,6.84   ,5.80   ,6.71   ,5.43   ,3.35   ,4.34
200901  ,-7.59  ,-8.24  ,-6.10  ,-9.22  ,-9.33  ,-6.76
200902 ,-10.40  ,-9.68  ,-9.42 ,-10.26 ,-10.90  ,-7.64
200903   ,5.30   ,6.30   ,7.14   ,4.84   ,8.31   ,8.86
200904  ,11.66  ,12.84  ,15.88   ,9.67  ,10.99  ,13.56
200905  ,10.01  ,10.45  ,13.60   ,7.99   ,9.78  ,11.86
200906   ,1.98   ,1.96   ,2.64   ,0.37  ,-0.60  ,-1.35
200907   ,8.61   ,7.89   ,8.38   ,8.80   ,8.85   ,8.34
200908   ,6.69   ,5.40   ,4.62   ,4.19   ,3.83   ,3.04
200909   ,5.78   ,5.77   ,6.75   ,3.86   ,4.49   ,4.39
200910  ,-3.94  ,-2.23  ,-2.59  ,-1.50  ,-2.65  ,-1.52
200911   ,0.72   ,1.50   ,1.79   ,3.63   ,4.30   ,3.61
200912   ,2.72   ,2.47   ,3.15   ,2.10   ,1.22   ,2.54
201001  ,-0.66  ,-1.52  ,-2.14  ,-3.77  ,-3.84  ,-4.39
201002   ,1.28   ,1.64   ,1.45   ,0.76   ,1.25   ,1.81
201003   ,7.16   ,6.68   ,6.31   ,5.93   ,5.79   ,7.03
201004   ,5.00   ,3.31   ,3.36  ,-0.05   ,0.18   ,0.11
201005 ,-10.77  ,-9.12 ,-10.21  ,-9.29  ,-9.07 ,-10.20
201006  ,-4.24  ,-2.97  ,-3.15  ,-3.11  ,-2.67  ,-3.68
201007   ,7.81   ,6.86   ,6.21   ,9.30   ,8.57   ,7.27
201008  ,-5.41  ,-4.14  ,-3.79  ,-5.92  ,-3.82  ,-2.01
201009  ,12.12  ,10.49  ,10.42  ,10.12   ,9.85   ,9.23
201010   ,4.09   ,2.95   ,3.79   ,3.73   ,4.30   ,3.71
201011   ,0.32  ,-0.80  ,-0.62  ,-1.89  ,-2.38  ,-2.76
201012  ,10.66   ,9.08   ,9.09   ,8.54   ,6.98   ,7.00
201101   ,1.89   ,1.02   ,0.27   ,3.06   ,2.39   ,1.35
201102   ,4.09   ,3.61   ,3.29   ,3.34   ,3.28   ,3.88
201103   ,0.18   ,0.82   ,0.03  ,-1.38  ,-0.36  ,-0.78
201104   ,3.24   ,3.62   ,3.62   ,4.24   ,5.12   ,4.10
201105  ,-2.74  ,-2.64  ,-2.64  ,-2.78  ,-1.90  ,-1.61
201106  ,-2.40  ,-0.95  ,-1.79  ,-1.99  ,-1.04  ,-1.73
201107  ,-1.08  ,-0.68  ,-0.50  ,-2.42  ,-2.28  ,-0.51
201108  ,-9.12  ,-7.17  ,-8.24  ,-7.55  ,-7.73  ,-6.93
201109 ,-10.65  ,-8.55 ,-11.30  ,-8.44  ,-9.21  ,-9.46
201110   ,8.39   ,6.32   ,8.57   ,9.17  ,10.52  ,10.92
201111  ,-3.56  ,-3.05  ,-4.27  ,-2.18  ,-2.73  ,-2.55
201112  ,-0.63  ,-0.19  ,-0.95   ,0.68  ,-0.08  ,-1.89
201201   ,7.98   ,6.85   ,7.80   ,4.08   ,5.62   ,6.33
201202   ,4.59   ,3.57   ,4.38   ,5.16   ,4.45   ,5.72
201203   ,1.54   ,1.48   ,0.51   ,2.33   ,0.86   ,0.94
201204  ,-1.07  ,-1.02  ,-1.12  ,-0.96  ,-1.47  ,-0.65
201205  ,-9.02  ,-8.52 ,-10.14  ,-7.38  ,-9.06  ,-9.78
201206   ,4.09   ,3.68   ,3.33   ,5.46   ,5.10   ,4.35
201207  ,-1.30  ,-0.54  ,-0.74   ,0.65   ,1.20   ,1.18
201208   ,3.10   ,2.42   ,2.53   ,2.62   ,2.36   ,3.67
201209   ,4.12   ,4.16   ,4.57   ,3.52   ,2.82   ,2.61
201210  ,-0.17  ,-0.37  ,-1.78  ,-0.12   ,0.17  ,-1.56
201211   ,0.53   ,1.09  ,-0.47   ,1.53   ,0.98   ,2.16
201212   ,4.93   ,3.95   ,3.35   ,2.38   ,2.27   ,1.65
201301   ,6.44   ,5.80   ,5.51   ,6.29   ,5.58   ,4.24
201302   ,0.02   ,0.53   ,0.41   ,0.34   ,0.35  ,-0.68
201303   ,2.79   ,2.44   ,2.68   ,3.10   ,2.18   ,1.52
201304   ,2.95   ,2.33   ,1.38   ,3.62   ,2.98   ,2.81
201305  ,-0.03  ,-0.09   ,0.77   ,0.26   ,0.27   ,1.53
201306  ,-2.52  ,-1.61  ,-2.75  ,-2.47  ,-2.14  ,-3.32
201307   ,6.60   ,4.97   ,5.93   ,5.37   ,5.06   ,6.67
201308  ,-1.33  ,-0.95  ,-0.22  ,-1.98  ,-2.52  ,-0.89
201309   ,7.62   ,7.14   ,7.55   ,5.20   ,5.04   ,5.90
201310   ,2.88   ,2.67   ,1.63   ,4.18   ,3.89   ,3.49
201311   ,1.98   ,1.70   ,1.17   ,2.01   ,1.88   ,1.62
201312   ,2.28   ,1.44   ,2.28   ,2.30   ,1.83   ,2.74
201401  ,-0.80  ,-1.16  ,-0.46  ,-3.61  ,-3.60  ,-3.44
201402   ,4.69   ,3.38   ,4.36   ,5.25   ,5.00   ,5.34
201403   ,0.06   ,0.91  ,-0.76   ,0.17   ,1.09  ,-1.44
201404  ,-2.14  ,-1.20  ,-1.84   ,0.89   ,0.93   ,0.55
201405   ,0.83   ,1.09   ,0.44   ,1.27   ,1.85   ,2.52
201406   ,3.83   ,3.32   ,4.67   ,0.98   ,1.89   ,2.50
201407  ,-2.18  ,-3.02  ,-3.95  ,-2.31  ,-2.17  ,-1.00
201408   ,1.37   ,1.36   ,1.71   ,2.00   ,1.84   ,2.25
201409  ,-6.04  ,-5.03  ,-5.67  ,-2.43  ,-3.31  ,-2.34
201410  ,-0.78   ,0.23  ,-0.49   ,0.28   ,0.48   ,0.47
201411  ,-0.38  ,-1.03  ,-0.40   ,2.01   ,1.43   ,2.56
201412  ,-0.19   ,0.68   ,0.17  ,-1.51  ,-1.37  ,-2.12
201501  ,-1.76  ,-1.95  ,-2.18  ,-2.43  ,-1.92  ,-0.64
201502   ,5.25   ,5.04   ,6.18   ,5.90   ,5.50   ,6.74
201503  ,-0.20   ,0.33   ,0.31  ,-1.38  ,-1.35  ,-1.10
201504   ,3.59   ,3.04   ,3.95   ,2.29   ,2.65   ,2.89
201505   ,1.25   ,1.12   ,2.18   ,0.78  ,-0.03   ,0.66
201506  ,-0.25  ,-0.38   ,0.01  ,-2.28  ,-2.46  ,-2.00
201507  ,-2.84  ,-1.13  ,-2.21   ,1.23   ,1.43   ,2.03
201508  ,-4.46  ,-4.07  ,-6.16  ,-6.36  ,-6.29  ,-6.34
201509  ,-4.44  ,-3.20  ,-4.97  ,-3.86  ,-3.53  ,-4.38
201510   ,5.21   ,5.23   ,5.14   ,7.68   ,6.69   ,8.74
201511  ,-0.17   ,1.02   ,1.70  ,-0.73  ,-0.53   ,0.18
201512  ,-1.07  ,-1.19  ,-1.13  ,-2.03  ,-2.02  ,-1.11
